(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bangladesh ;The Bahamas;Argentina;Gross domestic product, constant prices;Percent change;0,7;-5,744;-3,149;3,733;2;-6,951;7,146;2,529;-1,957;-7,007;-1,338;10,498;10,299;6,251;5,836;-2,845;5,527;8,111;3,85;-3,385;-0,789;-4,409;-10,895;8,837;9,03;9,226;8,375;7,966;3,075;0,05;9,452;8,386;0,802;2,885;0,465;0,411;-0,745;0,004;0,144;0,21;0,235
Belarus ;Bahrain;Argentina;Population;Persons;27,95;28,45;28,93;29,34;29,84;30,35;30,74;31,09;31,47;31,86;32,53;32,97;33,42;33,917;34,353;34,779;35,196;35,604;36,005;36,399;36,784;37,156;37,516;37,87;38,226;38,592;38,971;39,356;39,746;40,134;40,788;41,261;41,733;42,203;42,643;43,096;43,564;44,045;44,536;45,037;45,548
Belgium ;Bangladesh;Armenia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-14,054;5,4;8,033;5,169;3,387;6,271;3,17;5,853;9,468;14,807;14,052;10,473;14,113;13,198;13,749;6,948;-14,15;2,2;4,7;7,134;3,533;3,431;2,464;2,167;2,75;3;3,5;3,5
Belize ;Barbados;Armenia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,45;3,37;3,29;3,22;3,17;3,14;3,11;3,09;3,08;3,06;3,05;3,04;3,03;3,01;3;2,99;2,98;2,97;2,96;2,96;2,97;2,98;2,985;2,99;2,991;2,991;2,991;2,991;2,992
Benin ;Belarus;Australia;Gross domestic product, constant prices;Percent change;2,894;4,127;0,063;-0,474;6,346;5,456;2,448;4,893;4,253;4,569;1,503;-1,113;2,652;3,95;4,888;2,955;4,298;4,164;4,866;4,243;3,087;2,574;3,997;3,021;4,036;3,214;2,655;4,52;2,671;1,575;2,25;2,722;3,6;2,067;2,731;2,373;2,853;3,06;2,967;2,945;2,838
Bhutan ;Belgium;Australia;Population;Persons;14,802;15,039;15,289;15,484;15,677;15,901;16,139;16,395;16,687;16,937;17,17;17,379;17,557;17,719;17,893;18,12;18,33;18,51;18,706;18,919;19,141;19,386;19,605;19,827;20,046;20,312;20,628;21,016;21,476;21,866;22,172;22,52;22,921;23,295;23,626;24,027;24,445;24,863;25,281;25,698;26,112
Bolivia ;Belize;Austria;Gross domestic product, constant prices;Percent change;2,314;-0,099;1,908;2,804;0,332;2,243;2,341;1,681;0,961;3,887;4,346;3,442;2,094;0,527;2,402;2,668;2,398;2,205;3,56;3,59;3,368;1,351;1,656;0,756;2,706;2,141;3,351;3,621;1,547;-3,799;1,929;2,808;0,757;0,321;0,353;0,766;1,588;1,442;1,155;1,088;1,073
Bosnia and Herz. ;Benin;Austria;Population;Persons;7,54;7,556;7,565;7,543;7,544;7,549;7,557;7,567;7,576;7,594;7,645;7,711;7,799;7,883;7,929;7,944;7,953;7,965;7,971;7,983;8,002;8,021;8,064;8,1;8,143;8,201;8,254;8,283;8,308;8,335;8,352;8,375;8,408;8,452;8,508;8,556;8,594;8,628;8,662;8,697;8,732
Botswana ;Bhutan;Azerbaijan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-23,098;-19,673;-13,027;2,531;8,884;6,007;11,396;6,227;6,486;8,137;10,478;10,2;26,4;34,5;25;10,8;9,3;4,959;0,094;2,163;5,803;2,793;4,041;2,53;2,861;4,197;4,229;3,435
Brazil ;Bolivia;Azerbaijan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;7,459;7,487;7,597;7,726;7,763;7,838;7,913;8,016;8,139;8,234;8,328;8,423;8,518;8,613;8,707;8,802;8,897;8,977;9,049;9,122;9,195;9,268;9,342;9,417;9,492;9,568;9,645;9,722;9,8
Brunei ;Uganda;Kosovo;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,123;-0,702;5,419;2,612;3,854;3,408;8,3;4,491;3,592;3,31;4,379;2,809;3,389;2,746;3,2;3,8;4,1;4,1;4,1;4,1
Bulgaria ;Bosnia and Herzegovina;The Bahamas;Gross domestic product, constant prices;Percent change;7,1;-2,9;6,3;6,8;2,4;4,1;2,6;3,7;2,255;2,3;1,052;-4,182;-3,826;0,308;3,149;4,379;4,224;4,946;4,716;7,144;4,149;2,626;2,705;-1,265;0,883;3,395;2,517;1,446;-2,324;-4,175;1,539;0,613;2,217;0,022;1,023;1,22;2,248;2,732;1,694;1,684;1,545
Burkina ;Botswana;The Bahamas;Population;Persons;0,211;0,215;0,22;0,225;0,23;0,233;0,237;0,241;0,246;0,25;0,254;0,259;0,264;0,269;0,273;0,279;0,284;0,288;0,293;0,298;0,303;0,307;0,312;0,316;0,321;0,325;0,329;0,333;0,337;0,341;0,345;0,348;0,352;0,356;0,36;0,364;0,368;0,372;0,377;0,381;0,385
Burundi ;Brazil;Bahrain;Gross domestic product, constant prices;Percent change;7,494;2,777;6,406;6,994;4,186;-0,93;0,484;-1,222;5,952;1,013;3,503;2,286;7,123;7,604;3,212;1,923;3,25;2,348;4,849;5,972;7,018;2,491;3,349;6,296;6,981;6,769;6,469;8,292;6,245;2,54;4,334;2,1;3,589;5,337;4,507;3,376;3,218;2,837;2,855;3,283;3,306
Cambodia ;Brunei Darussalam;Bahrain;Population;Persons;0,353;0,367;0,38;0,393;0,406;0,42;0,435;0,45;0,467;0,484;0,488;0,508;0,516;0,53;0,544;0,559;0,574;0,589;0,605;0,712;0,638;0,661;0,711;0,765;0,824;0,889;0,96;1,039;1,107;1,178;1,235;1,195;1,219;1,243;1,268;1,294;1,319;1,346;1,373;1,4;1,428
Cameroon ;Bulgaria;Bangladesh;Gross domestic product, constant prices;Percent change;3,05;3,076;3,206;4,61;4,177;3,744;3,985;2,931;2,388;4,298;4,603;4,203;4,801;4,324;4,513;4,77;5,013;5,304;5,044;5,421;5,6;4,834;4,845;5,776;6,108;6,302;6,851;6,518;5,515;5,315;6,03;6,494;6,26;6,038;6,292;6,505;6,758;7;7;7;6,742
Canada ;Burkina Faso;Bangladesh;Population;Persons;82,498;84,764;87,061;89,4;91,804;94,288;96,852;99,477;102,133;104,779;107,386;109,935;112,431;114,898;117,369;119,87;122,401;124,945;127,479;129,967;132,383;134,73;137,006;139,186;141,235;143,135;144,869;146,457;147,97;149,503;151,125;152,862;154,695;156,595;158,217;159,857;161,513;163,187;164,877;166,586;168,312
Central African;Burundi;Barbados;Gross domestic product, constant prices;Percent change;4,371;-1,9;-4,9;0,5;3,6;1,1;5,1;2,6;3,5;3,6;-3,3;-3,9;-5,7;0,8;2;2,023;3,966;4,74;3,74;0,326;4,453;-2,367;0,791;2,171;1,407;3,965;5,669;1,764;0,396;-4,032;0,256;0,756;0,28;-0,036;0,207;1,004;1,092;1,177;1,218;1,502;1,997
Chad ;Cabo Verde;Barbados;Population;Persons;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,264;0,264;0,265;0,266;0,267;0,267;0,269;0,27;0,271;0,272;0,273;0,273;0,274;0,275;0,275;0,276;0,277;0,277;0,278;0,278;0,279;0,28;0,28;0,281;0,282;0,282;0,283
China ;Cambodia;Belarus;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-7,6;-11,7;-11,084;2,671;11,376;8,54;3,276;5,726;4,715;5,044;6,974;11,438;9,406;9,984;8,688;10,293;0,143;7,741;5,544;1,731;1,024;1,588;-3,556;-2,179;0,571;1,048;1,511;1,636
Colombia ;Cameroon;Belarus;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10,217;10,24;10,228;10,177;10,142;10,093;10,045;10,019;9,99;9,957;9,9;9,831;9,763;9,697;9,63;9,579;9,542;9,514;9,5;9,481;9,465;9,464;9,468;9,421;9,374;9,327;9,28;9,234;9,187
Congo ;Canada;Belgium;Gross domestic product, constant prices;Percent change;4,444;-0,279;0,595;0,312;2,466;1,652;1,823;2,307;4,723;3,469;3,137;1,833;1,531;-0,962;3,227;2,385;1,551;3,743;2,006;3,716;3,55;0,924;1,559;0,89;3,434;1,894;2,63;3;0,953;-2,619;2,501;1,618;0,093;0,291;1,066;1,341;1,451;1,465;1,501;1,533;1,528
Congo (Kinshasa);Central African Republic;Belgium;Population;Persons;9,855;9,863;9,855;9,858;9,853;9,858;9,859;9,865;9,876;9,928;9,948;9,987;10,022;10,068;10,101;10,131;10,143;10,17;10,192;10,214;10,239;10,263;10,31;10,356;10,396;10,446;10,511;10,585;10,667;10,753;10,84;11,001;11,095;11,162;11,204;11,337;11,434;11,532;11,629;11,727;11,824
Costa Rica ;Chad;Belize;Gross domestic product, constant prices;Percent change;5,013;0,214;-7,551;6,076;11,332;-1,419;7,275;21,997;10,861;15,474;11,209;11,465;12,083;6,276;0,158;0,644;1,428;3,545;3,741;8,779;13,02;5,016;5,121;9,326;4,648;2,578;4,582;1,106;3,229;0,713;3,324;2,104;3,825;1,526;3,573;2,212;3,169;3,016;2,574;2,474;2,389
Croatia ;Chile;Belize;Population;Persons;0,15;0,15;0,153;0,157;0,162;0,166;0,171;0,176;0,179;0,184;0,189;0,194;0,199;0,205;0,211;0,217;0,222;0,23;0,239;0,243;0,25;0,257;0,265;0,274;0,283;0,292;0,301;0,312;0,322;0,323;0,324;0,332;0,341;0,35;0,357;0,364;0,371;0,379;0,386;0,394;0,402
Cuba ;China;Benin;Gross domestic product, constant prices;Percent change;9,255;1,929;1,682;-2;0,4;4,327;2,748;-2,074;3,428;-2,849;8,976;4,226;2,958;5,836;2,02;6,045;4,324;5,735;3,961;5,341;4,862;6,196;4,442;3,951;3,082;2,865;3,752;4,626;5,018;2,658;2,552;3,325;5,392;5,645;5,4;5,481;5,298;5,599;5,699;5,708;6
Cyprus ;Colombia;Benin;Population;Persons;3,653;3,78;3,896;4,023;4,149;4,287;4,424;4,561;4,709;4,848;5,001;5,183;5,378;5,582;5,787;5,986;6,176;6,361;6,546;6,74;6,949;7,175;7,415;7,666;7,923;8,182;8,444;8,707;8,973;9,241;9,51;9,78;10,051;10,321;10,592;10,862;11,131;11,399;11,665;11,929;12,19
Czech Rep. ;Comoros;Bhutan;Gross domestic product, constant prices;Percent change;4,995;13,589;8,195;7,337;7,616;4,349;7,954;20,229;15,079;6,194;9,098;4,896;2,083;3,192;3,511;6,037;6,194;5,397;5,57;6,866;6,477;6,74;9,516;9,118;6,748;6,527;6,981;12,571;10,752;5,722;9,327;10,069;6,407;4,905;6,412;7,668;8,395;8,597;11,235;7,635;6,496
Denmark ;Democratic Republic of the Congo;Bhutan;Population;Persons;0,413;0,424;0,435;0,445;0,456;0,469;0,484;0,501;0,517;0,53;0,536;0,535;0,528;0,519;0,512;0,509;0,513;0,521;0,534;0,549;0,564;0,581;0,598;0,616;0,634;0,65;0,666;0,679;0,692;0,705;0,717;0,729;0,742;0,754;0,766;0,779;0,792;0,804;0,818;0,831;0,845
Djibouti ;Republic of Congo;Bolivia;Gross domestic product, constant prices;Percent change;0,61;0,3;-3,939;-4,042;-0,201;-1,676;-2,574;2,463;2,91;3,79;4,636;5,267;1,646;4,269;4,667;4,678;4,361;4,954;5,029;0,427;2,508;1,684;2,486;2,711;4,173;4,421;4,797;4,564;6,148;3,357;4,127;5,204;5,122;6,796;5,461;4,1;3,5;3,5;3,5;3,5;3,5
Dominican Rep.;Costa Rica;Bolivia;Population;Persons;4,996;5,409;5,521;5,637;5,754;5,875;5,997;6,122;6,25;6,381;6,514;6,65;6,789;6,983;7,182;7,387;7,589;7,827;7,914;8,001;8,275;8,248;8,547;9,141;9,275;9,408;9,627;9,903;10,028;10,302;10,507;10,712;10,875;11,081;11,292;11,506;11,725;11,948;12,175;12,406;12,642
East Timor;Côte d'Ivoire;Bosnia and Herzegovina;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;22,853;13,814;10,75;4,442;2,362;5,053;3,858;6,257;4,236;5,691;5,979;5,594;-2,719;0,842;0,958;-1,207;2,461;1,05;2,05;3;3,5;3,7;3,9;4
Ecuador ;Croatia;Bosnia and Herzegovina;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,645;3,756;3,654;3,725;3,781;3,798;3,828;3,858;3,889;3,919;3,92;3,916;3,911;3,904;3,897;3,89;3,884;3,878;3,871;3,863;3,854;3,845;3,837;3,831;3,825
Egypt ;Cyprus;Botswana;Gross domestic product, constant prices;Percent change;12,02;8,154;15,874;10,793;6,517;7,695;8,616;14,89;23,42;4,665;8,787;6,237;-0,208;4,027;-0,786;7,03;5,83;8,027;0,721;9,667;1,987;0,25;6,07;4,625;2,706;4,556;8,364;8,28;6,242;-7,653;8,564;6,048;4,832;9,322;4,421;2,589;3,237;3,522;3,952;4,202;4,406
El Salvador ;Czech Republic;Botswana;Population;Persons;0,98;0,998;1,035;1,073;1,113;1,154;1,197;1,241;1,286;1,333;1,382;1,424;1,465;1,506;1,546;1,586;1,624;1,661;1,696;1,728;1,758;1,784;1,808;1,83;1,852;1,876;1,901;1,928;1,955;1,982;2,007;2,031;2,055;2,079;2,104;2,129;2,154;2,18;2,205;2,232;2,258
Eq. Guinea ;Denmark;Brazil;Gross domestic product, constant prices;Percent change;9,19;-4,4;0,596;-3,4;5,307;7,901;7,544;3,601;0,264;3,2;-4,168;1,031;-0,467;4,665;5,335;4,417;2,19;3,388;0,355;0,49;4,383;1,279;3,072;1,223;5,661;3,149;3,999;6,006;5,019;-0,236;7,572;3,916;1,762;2,744;0,145;-3,026;-1,044;2,258;2,363;2,453;2,527
Eritrea ;Djibouti;Brazil;Population;Persons;118,563;121,213;123,885;126,573;129,273;131,978;134,653;137,268;139,819;142,307;146,593;149,094;151,547;153,986;156,431;158,875;161,323;163,78;166,252;168,754;173,448;175,885;178,276;180,619;182,911;185,151;187,335;189,463;191,532;193,544;195,498;197,397;199,242;201,033;202,769;204,451;206,082;207,661;209,187;210,659;212,078
Estonia ;Dominica;Brunei Darussalam;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;-2,778;0,311;-0,36;2,206;1,085;3,148;4,759;0,301;3,149;4,477;2,881;-1,475;-0,56;3,053;2,853;2,745;3,872;2,903;0,504;0,388;4,412;0,12;-1,979;-1,819;2,652;3,744;0,913;-2,125;-2,344;-1,158;3,195;3,757;5,458;11,246;5,04
Ethiopia;Dominican Republic;Brunei Darussalam;Population;Persons;n/a;n/a;n/a;n/a;n/a;0,222;0,226;0,234;0,241;0,246;0,253;0,26;0,267;0,274;0,281;0,287;0,295;0,302;0,31;0,317;0,325;0,333;0,34;0,346;0,352;0,359;0,365;0,37;0,375;0,38;0,387;0,393;0,4;0,406;0,413;0,419;0,426;0,433;0,44;0,447;0,454
Falkland Is.;Ecuador;Bulgaria;Gross domestic product, constant prices;Percent change;5,7;5,3;4,2;3;4,6;1,8;5,3;4,7;2,4;-0,5;-9,1;-10,755;-8,426;-11,625;-3,665;-1,601;-8,043;-1,089;3,463;-5,646;6,038;3,799;4,48;5,357;6,56;5,955;6,47;6,907;5,755;-5,012;0,655;1,982;0,492;1,066;1,705;1,7;1,9;2;2;2,3;2,5
Faso ;Egypt;Bulgaria;Population;Persons;8,862;8,891;8,922;8,948;8,963;8,96;8,94;8,903;8,852;8,789;8,718;8,639;8,553;8,463;8,377;8,297;8,225;8,162;8,105;8,067;8,15;7,891;7,846;7,801;7,761;7,719;7,679;7,64;7,607;7,564;7,505;7,327;7,282;7,238;7,202;7,166;7,13;7,095;7,059;7,024;6,989
Fiji ;El Salvador;Burkina Faso;Gross domestic product, constant prices;Percent change;4,035;2,661;1,4;-1,2;1,6;11,3;7,955;-0,236;5,796;2,15;-0,603;9,07;0,233;3,461;1,315;5,716;11,015;6,317;7,308;7,333;1,887;6,609;4,353;7,81;4,478;8,665;6,252;4,108;5,8;2,962;8,446;6,627;6,453;6,616;4,024;4,977;5,964;6,546;6,6;6,599;6,599
Finland ;Equatorial Guinea;Burkina Faso;Population;Persons;7,285;7,466;7,654;7,848;8,046;7,728;7,931;8,14;8,356;8,58;8,811;9,05;9,297;9,552;9,817;10,09;10,373;10,665;10,968;11,282;11,608;11,946;12,296;12,659;13,034;13,422;13,822;14,235;14,66;15,095;15,54;15,995;16,46;16,937;17,429;17,934;18,454;18,989;19,54;20,107;20,69
Fr. S. and Antarctic Lands;Eritrea;Burundi;Gross domestic product, constant prices;Percent change;-6,825;12,164;-1,054;3,715;0,155;11,784;3,25;5,503;5,031;1,349;3,458;5,781;1,007;-6,236;-3,829;-7,919;-8,001;0,413;4,752;1,164;1,782;1,665;2,354;2,47;3,767;4,371;5,414;3,44;4,907;3,803;5,053;4,19;4,018;4,472;4,737;-7,171;5,151;4,455;4,979;5,084;5,165
France Guyana ;Estonia;Burundi;Population;Persons;4,09;4,21;4,334;4,461;4,591;4,726;4,864;5,007;5,154;5,305;5,46;5,62;5,78;5,77;5,87;5,98;6,09;6,19;6,3;6,3;6,426;6,75;7;7,2;7,344;7,491;7,641;7,794;7,981;8,172;8,368;8,569;8,775;8,985;9,201;9,422;9,648;9,879;10,117;10,359;10,608
Gabon ;Ethiopia;Cabo Verde;Gross domestic product, constant prices;Percent change;5,263;8,45;2,822;9,523;3,78;8,643;2,872;4,308;5,997;5,698;0,692;1,403;3,045;7,31;6,93;7,492;6,694;7,639;8,413;11,86;7,267;6,138;5,283;7,502;4,927;5,81;9,118;9,218;6,651;-1,255;1,471;3,971;1,055;1,037;1,84;3,455;3,653;3,657;4,025;4,222;4,239
Gambia ;Fiji;Cabo Verde;Population;Persons;0,289;0,294;0,299;0,305;0,312;0,318;0,325;0,332;0,339;0,346;0,354;0,363;0,371;0,38;0,39;0,399;0,409;0,418;0,426;0,434;0,442;0,451;0,459;0,467;0,474;0,479;0,482;0,484;0,485;0,486;0,488;0,491;0,506;0,512;0,518;0,525;0,531;0,538;0,545;0,551;0,558
Georgia ;Finland;Cambodia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;9,616;3,327;1,118;7,592;7,069;4,042;8,181;6,443;5,412;5,62;5,009;11,91;8,767;8,148;6,579;8,506;10,341;13,25;10,771;10,213;6,692;0,087;5,963;7,07;7,313;7,428;7,004;6,95;7,176;7,183;7,341;7,26;7,26
Germany ;France;Cambodia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;7,016;7,234;7,46;7,692;7,932;8,179;8,434;8,697;10,43;10,769;11,091;11,396;11,685;11,96;12,223;12,473;12,709;12,934;13,149;13,356;13,555;13,747;13,941;14,144;14,365;14,605;14,864;15,087;15,313;15,543;15,776;16,013;16,253;16,497;16,744
Ghana ;Gabon;Cameroon;Gross domestic product, constant prices;Percent change;9,9;17,051;7,563;6,844;7,468;8,107;6,791;-2,153;-7,865;-1,77;-6,161;-3,764;-3,05;-3,158;-2,495;3,304;5;5,1;5,05;4,4;4,15;4,514;4,009;4,031;3,702;2,297;3,222;3,257;2,885;1,932;3,269;4,14;4,598;5,583;5,66;5,349;5,385;5,48;5,491;5,505;5,5
Greece ;The Gambia;Cameroon;Population;Persons;8,823;9,079;9,335;9,59;9,848;10,111;10,389;10,686;10,999;11,332;11,685;12,045;12,412;12,787;13,168;13,537;13,916;14,305;14,706;15,117;15,541;15,976;16,423;16,883;17,356;17,842;18,341;18,855;19,383;19,926;20,424;20,934;21,458;21,994;22,544;23,108;23,685;24,277;24,884;25,506;26,144
Greenland ;Georgia;Canada;Gross domestic product, constant prices;Percent change;2,163;3,503;-3,02;2,566;5,572;4,679;2,198;4,042;4,738;2,375;0,129;-2,12;0,854;2,607;4,554;2,738;1,68;4,253;4,138;4,997;5,123;1,688;2,802;1,925;3,139;3,163;2,622;2,008;1,175;-2,711;3,374;2,96;1,923;2,004;2,439;1,041;1,662;2,413;2,333;2,136;2,01
Guatemala ;Germany;Canada;Population;Persons;24,471;24,785;25,083;25,336;25,577;25,813;26,067;26,398;26,751;27,215;27,632;27,987;28,324;28,651;28,96;29,263;29,57;29,868;30,124;30,367;30,647;30,972;31,309;31,602;31,899;32,203;32,529;32,848;33,199;33,581;33,959;34,303;34,699;35,1;35,492;35,798;36,112;36,437;36,765;37,096;37,43
Guinea ;Ghana;Central African Republic;Gross domestic product, constant prices;Percent change;-2,995;12,954;-3,572;-6,027;9,912;3,733;7,193;0;1,718;5,368;-2,12;0,695;-1,665;0,069;10,377;4,258;-7,786;7,694;3,744;3,722;-1,67;0,396;0,268;-6,834;2,632;2,468;4,771;4,608;2,054;1,709;3,047;3,301;4,113;-36,047;1,01;5,5;5,745;5,946;6,048;5,047;3,979
Guinea Bissau;Greece;Central African Republic;Population;Persons;2,279;2,348;2,407;2,467;2,526;2,595;2,684;2,741;2,795;2,852;2,913;2,98;3,051;3,125;3,201;3,276;3,35;3,425;3,498;3,57;3,638;3,704;3,767;3,83;3,894;3,961;4,032;4,107;4,185;4,266;4,35;4,435;4,522;4,611;4,701;4,794;4,888;4,983;5,081;5,181;5,282
Haiti ;Grenada;Chad;Gross domestic product, constant prices;Percent change;-6,008;-10,805;5,376;15,659;5,256;7,897;5,966;3,647;7,544;1,952;3,202;10,402;2,392;-2,074;5,494;-0,775;2,115;5,653;6,952;-0,683;-0,88;11,658;8,491;14,722;33,629;7,935;0,648;3,271;3,053;4,223;13,544;0,083;8,882;5,694;6,893;6,918;4,232;8,133;4,931;5,157;2,827
Honduras ;Guatemala;Chad;Population;Persons;4,412;4,522;4,636;4,751;4,87;4,992;5,117;5,245;5,376;5,51;5,648;5,784;5,922;6,064;6,21;6,596;6,761;6,932;7,108;7,29;7,478;7,665;7,857;8,6;8,815;9,035;9,261;9,493;9,73;9,973;10,223;10,478;10,74;11,009;11,284;11,566;11,855;12,185;12,49;12,802;13,122
Hungary ;Guinea;Chile;Gross domestic product, constant prices;Percent change;7,945;6,212;-13,588;-2,802;5,886;1,968;5,596;6,581;7,288;10,605;3,671;7,945;12,209;6,926;5,666;10,487;7,357;6,606;3,267;-0,709;4,469;3,342;2,17;3,387;6,797;6,305;5,825;5,207;3,234;-1,033;5,74;5,754;5,525;4,31;1,851;2,269;2,503;2,9;3,1;3,3;3,5
Iceland ;Guinea-Bissau;Chile;Population;Persons;11,174;11,36;11,545;11,731;11,917;12,102;12,317;12,533;12,748;12,963;13,179;13,422;13,665;13,908;14,152;14,395;14,596;14,796;14,997;15,197;15,398;15,572;15,668;15,838;16,002;16,165;16,332;16,505;16,687;16,877;17,066;17,256;17,445;17,632;17,819;18,006;18,196;18,387;18,58;18,776;18,973
